PMID,Title,Abstract
40002724,An Integrated Approach Utilizing Single-Cell and Bulk RNA-Sequencing for the Identification of a Mitophagy-Associated Genes Signature: Implications for Prognostication and Therapeutic Stratification in Prostate Cancer.,"Introduction: Prostate cancer, notably prostate adenocarcinoma (PARD), has high incidence and mortality rates. Although typically resistant to immunotherapy, recent studies have found immune targets for prostate cancer. Stratifying patients by molecular subtypes may identify those who could benefit from immunotherapy. Methods: We used single-cell and bulk RNA sequencing data from GEO and TCGA databases. We characterized the tumor microenvironment at the single-cell level, analyzing cell interactions and identifying fibroblasts linked to mitophagy. Target genes were narrowed down at the bulk transcriptome level to construct a PARD prognosis prediction nomogram. Unsupervised consensus clustering classified PARD into subtypes, analyzing differences in clinical features, immune infiltration, and immunotherapy. Furthermore, the cellular functions of the genes of interest were verified in vitro. Results: We identified ten cell types and 160 mitophagy-related single-cell differentially expressed genes (MR-scDEGs). Strong interactions were observed between fibroblasts, endothelial cells, CD8(+) T cells, and NK cells. Fibroblasts linked to mitophagy were divided into six subtypes. Intersection of DEGs from three bulk datasets with MR-scDEGs identified 26 key genes clustered into two subgroups. COX regression analysis identified seven prognostic key genes, enabling a prognostic nomogram model. High and low-risk groups showed significant differences in clinical features, immune infiltration, immunotherapy, and drug sensitivity. In prostate cancer cell lines, CAV1, PALLD, and ITGB8 are upregulated, while CLDN7 is downregulated. Knockdown of PALLD significantly inhibits the proliferation and colony-forming ability of PC3 and DU145 cells, suggesting the important roles of this gene in prostate cancer progression. Conclusions: This study analyzed mitophagy-related genes in PARD, predicting prognosis and aiding in subtype identification and immunotherapy response analysis. This approach offers new strategies for treating prostate cancer with specific molecular subtypes and helps develop potential biomarkers for personalized medicine strategies."
40002690,"Comprehensive Analysis Reveals Midnolin as a Potential Prognostic, Therapeutic, and Immunological Cancer Biomarker.","Background/Objectives: MIDN (midnolin) is newly discovered method for critically regulating a ubiquitin-independent proteasomal degradation pathway. This study aims to examine the expression, prognostic value, genomic changes, interacting proteins, methylation status, and correlations with the tumor immune microenvironment of MIDN in various cancers. Methods: The GTEx, Depmap, GEPIA2, and Kaplan-Meier Plotter databases are applied to evaluate the MIDN level in tumor and normal tissues and the MIDN prognostic value in cancers. The genetic alterations of MIDN in cancers are investigated using the cBioPortal database. The STRING, GeneMANIA, DAVID, and Human Protein Atlas are harnessed to identify and analyze MIDN-interacted proteins. The Sangerbox 3.0 platform (a pan-cancer analysis module) is used to measure the correlations between the MIDN level and the tumor immune microenvironment, stemness, immune cell infiltration, tumor mutational burden, immune checkpoint genes, and RNA modification genes. Immunofluorescence, qRT-PCR, and Western blotting assays were used to evaluate the biological roles of MIDN in breast and gastric cancer cells. Results: MIDN expression was dysregulated in many cancers and associated with prognosis in several cancers, such as esophageal cancer. MIDN was mutated in 1.7% of cancers, and deep deletion was the dominant mutation type. NR4A1, PSMC1, and EGR1 were selected as MIDN-interacted proteins, and these four molecules were co-expressed in pancreatic cancer, liver cancer, urothelial cancer, melanoma, and breast cancer. MIDN expression was significantly correlated with the infiltration of CD8+ T cell, CD4+ T cell, B cell, macrophage, neutrophil, and DC both in prostate adenocarcinoma and liver hepatocellular carcinoma. The MIDN level was correlated with several immune checkpoint genes, such as VEGFA, and RNA modification genes such as YTHDF1, YTHDF2, YTHDF3, and YTHDC1 in cancers. Furthermore, in breast cancer cells, the downregulation of MIDN suppressed the colony formation abilities and lessened cell-cycle-associated and stemness-associated genes; in gastric cancer, the knockdown of MIDN diminished the mRNA levels of Nanog and LDHA. Strikingly, silence of MIDN upregulated FTO protein expression in both breast and gastric cancer cells. Conclusions: Our findings demonstrate the expression, prognostic value, mutation status, interacting proteins, methylation status, and correlations with the tumor immune microenvironment of MIDN. MIDN will be developed as a potential therapeutic target and a prognosis biomarker."
40002239,TP53 Deficiency in the Natural History of Prostate Cancer.,"Prostate cancer remains a leading cause of cancer-related mortality in men, with advanced stages posing significant treatment challenges due to high morbidity and mortality. Among genetic alterations, TP53 mutations are among the most prevalent in cancers and are strongly associated with poor clinical outcomes and therapeutic resistance. This review investigates the role of TP53 mutations in prostate cancer progression, prognosis, and therapeutic development. A comprehensive analysis of preclinical and clinical studies was conducted to elucidate the molecular mechanisms, clinical implications, and potential therapeutic approaches associated with TP53 alterations in prostate cancer. TP53 mutations are highly prevalent in advanced stages, contributing to genomic instability, aggressive tumor phenotypes, and resistance to standard treatments. Emerging evidence supports the utility of liquid biopsy techniques, such as circulating tumor DNA analysis, for detecting TP53 mutations, providing prognostic value and facilitating early intervention strategies. Novel therapeutic approaches targeting TP53 have shown promise in preclinical settings, but their clinical efficacy requires further validation. Overall, TP53 mutations represent a critical biomarker for disease progression and therapeutic response in prostate cancer. Advances in detection methods and targeted therapies hold significant potential to improve outcomes for patients with TP53-mutated prostate cancer. Further research is essential to integrate TP53-based strategies into routine clinical practice."
40001606,Omics Investigations of Prostate Cancer Cells Exposed to Simulated Microgravity Conditions.,"Prostate cancer (PC) is the most diagnosed cancer in males across the globe. Following the formation of metastasis, PC is linked to a notable decline in both prognosis and survival rates. Three-dimensional multicellular spheroids (MCSs) of a prostate adenocarcinoma cell line were generated in a three-day simulated microgravity environment (s-microg) to serve as a model for metastasis and to derive transcriptional and epigenetic PC candidates from molecular biological changes. With an FDR of 10(-3), we detected the most differentially expressed genes in the two comparisons' adherent cells (AD) to MCSs (N = 751 genes) and 1g control cells to MCSs (N = 662 genes). In these two comparisons, genes related to cell cycle, angiogenesis, cell adhesion, and extracellular space were consistently found to be significantly enriched in GO annotations. Furthermore, at a 5% FDR significance level, we were able to identify 11,090 genome-wide differentially methylated positions (DMPs) and one differentially methylated region in the SRMS gene in the 1g vs. AD comparison, as well as an additional 10,797 DMPs in the 1g vs. MCSs comparison. Finally, we identified five s-microg-related positive enrichments of transcription factor binding sites for AR, IRF1, IRF2, STAT1, STAT2, and FOXJ3 close to the DMPs."
40000514,Bio-fabricated silver nanoparticles: therapeutic evaluation as a potential nanodrug against cervical and liver cancer cells.,"Nanobiotechnology has grown rapidly and is now widely used in the diagnosis and treatment of modern diseases. Biosynthesized silver nanoparticles (AgNPs) are eco-friendly, cost-effective, biocompatible route, and have biomedical properties at minimal concentrations. In the present study extract of cyanobacterium (Anabaena variabilis) was utilized to synthesize facile, reliable AgNPs, further biosynthesized AgNPs were characterized by physicochemical techniques. The atomic force microscope study confirmed the shape of AgNPs while the scanning electron microscopy study revealed 17 to 35 nm in the size range. The zeta potential value of -19.5 mV demonstrated the repulsion effect between the particles, which prevents their aggregations while the heating stability of AgNPs was confirmed by Thermogravimetry differential thermal analysis. Another important characteristic, such as elemental constituent of AgNPs was determined by inductively coupled plasma mass spectrometry and was observed 94.24, 95.19, 97.06, and 99.34% of silver present in their respective concentrations of AgNPs. In vitro cytotoxicity of AgNPs was screened on HeLa, SiHa, (Cervical carcinoma), and HepG2 (Human hepatocellular carcinoma), cell lines. To evaluate the biocompatibility of AgNPs immortalized human embryonic kidney (HEK-293) cell line was used. The IC(50) values of AgNPs are were observed as 23.76 +/- 2.4 microg/mL, 11.21 +/- 1.7 microg/mL, and 22.27 +/- 1.8 microg/mL against HeLa, SiHa and HepG2 cell lines respectively. AgNPs demonstrated the biocompatible nature against HEK-293 cells, Normal cell line (HEK-293) cytotoxicity results showed exhibited >/= 95% cell viability at all the concentrations. During the DAPI (4',6-diamidino-2-phenylindole) staining study IC(50) dose of AgNPs on cancer cell lines (HeLa, SiHa, and HepG2) showed nuclear morphological alterations which indicate the DNA damage and apoptosis in cancer cells. AgNPs treated cancer cells increased the cells number in the S phase while decreased the number of cells in the G0-G1 and G2/M phases of the cell cycle in all three cancer cells compared to the control."
39999729,"Identification of the specific characteristics of neuroendocrine prostate cancer: Immune status, hub genes and treatment.","Castration-resistant prostate cancer (CRPC) marks the advanced phase of prostate malignancy, manifested through two principal subtypes: castration-resistant adenocarcinoma (CRPC-adeno) and neuroendocrine prostate cancer (NEPC). This study aims to identify unique central regulatory genes, assess the immunological landscape, and explore potential therapeutic strategies specifically tailored to NEPC. We discovered 1444 differentially expressed genes (DEGs) distinguishing between the two cancer types and identified 12 critical hub genes. Notably, CHST1, MPPED2, and RIPPLY3 emerged as closely associated with the immune cell infiltration pattern, establishing them as top candidates. Prognostic analysis highlighted the potential critical roles of CHST1 and MPPED2 in prostate cancer development, findings corroborated through in vitro and in vivo assays. Moreover, we validated the functions and expression levels of CHST1, MPPED2, and RIPPLY3 in NEPC using cell lines, animal models and human tissues. In the final step, we found that imatinib might be the drug specific to NEPC, which was further confirmed by in vitro cell assay. Our results revealed the clinical characteristics, molecular features, immune cell infiltration pattern in CRPC-adeno and NEPC, and identified and confirmed CHST1, MPPED2, and RIPPLY3 as the critical genes in the development in prostate cancer and NEPC. We also predicted and validated imatinib as the potential specific drugs to NEPC."
39995874,Differentiation of high risk prostate cancer with a facile urinary exosome detection workflow.,"Clear differentiation of high-grade and clinically insignificant prostate cancer (PCa) is critical for clinical decision-making. Here, we developed a proprietary urinary exosome isolation approach (EVLatch) and established a facile diagnostic workflow. We discovered that EEF1A1 levels, abundantly expressed on urinary exosomes, positively correlate to urinary exosome counts irrespective of source and collection time and demonstrated that EEF1A1 enables in-assay quantification of urinary exosomes. Importantly, a prostate cancer urinary EVLatch-based artificial intelligence diagnostics (PURE-AID) classification system utilizing PCA3, HOXC6, and DLX1 as targets with SPDEF for reference and EEF1A1 for quality checking, trained on 271 patients, achieved an area under the receiver operating characteristic curve (AUROC) of 0.76 in the test set of 351 patients. Combination of PURE-AID with prostate-specific antigen (PSA) and age increases AUROC to 0.80 and reduces 54.3% of unnecessary biopsies with 86.8% sensitivity. Our study provides a new classification system for differentiating high-grade PCa in a workflow- and patient-friendly manner."
39995416,Exploring the multi-targeted mechanism of Saikosaponin A in prostate cancer treatment: a network pharmacology and molecular docking approach.,"BACKGROUND: Prostate cancer (PCa) is one of the prevalent malignant tumors among men. It can progress to castration-resistant prostate cancer (CRPC), which is significantly more challenging to treat. Saikosaponin A (SSA), a triterpenoid saponin extracted from the genus Bupleurum, exerts numerous pharmacological effects, including anti-inflammatory and anti-tumorigenic effects. However, the mechanism underlying the effects of SSA in prostate cancer treatment remains elusive. METHODS: In this study, a network pharmacology approach was applied to identify relevant targets from drug- and disease-related databases, and intersections were analyzed using Venny2.1 to construct a Protein-Protein interaction (PPI) interaction network. Next, Gene Ontology (GO) and Kyoto Encyclopedia of Genes and Genomes (KEGG) enrichment analyses were performed to elucidate associated biological functions and signaling pathways. Meanwhile, molecular docking between core targets and SSA was performed using Autodock software. Lastly, in vitro experiments were performed for validation. RESULTS: A least of four key targets, namely BCL2 apoptosis regulator (BCL2), estrogen receptor 1 (ESR1), hypoxia-inducible factor 1 subunit alpha (HIF1A), and signal transducer and activator of transcription 3 (STAT3) were identified in this study, and molecular docking analyses revealed that SSA stably binds to these targets. Moreover, the results of in vitro experiments revealed that SSA significantly inhibited the proliferative and migratory abilities of PC3 cells in a dose-dependent manner. Finally, SSA also induced G1-phase blockade and apoptosis in PC3 cells, further highlighting its potential role in prostate cancer treatment. CONCLUSION: The present study revealed that SSA exerts anti-tumorigenic effects in prostate cancer by targeting multiple pathways, laying a theoretical reference for its use as a therapeutic candidate for prostate cancer."
39994764,Proteome-wide Mendelian randomization identifies causal plasma proteins in prostate cancer development.,"BACKGROUND: The etiology of prostate cancer remained elusive, whether plasma protein levels are associated with prostate cancer is still unknown. METHODS: We have performed Mendelian randomization analyses to calculate the causal effects of plasma proteins on the risk of prostate cancer in the PRACTICAL consortium dataset using cis-protein quantitative trait loci (cis-pQTL) variants as instrumental variables for plasma proteins, and cis-expression quantitative trait locus (cis-eQTL) for the circulating gene expression. We also replicated the findings in the FinnGen consortium. RESULTS: Genetically proxied levels of 4 plasma proteins (CREB3L4, HDGF, SERPINA3, GNPNAT1) were identified as positively correlated with an increased risk of prostate cancer, while an increase in genetically proxied levels of 5 plasma proteins (TNFRSF6B, GSK3A, EIF4B, CLIC1, SMAD2) were significantly associated with a decreased risk of prostate cancer in the PRACTICAL consortium. Among the identified proteins, the causal effects of six proteins including CREB3L4, HDGF, SERPINA3, TNFRSF6B, EIF4B, and SMAD2 remained significant in the replication analyses in the FinnGen consortium and when combined with meta-analyses (SMAD2: OR 0.710, 95% CI 0.578-0.873, p-value = 0.001; CREB3L4: OR 1.260, 95% CI 1.164-1.364, p-value < 0.0001; HDGF: OR 1.072, 95% CI 1.021-1.125, p-value = 0.005; SERPINA3: OR 1.138, 95% CI 1.091-1.187, p-value < 0.0001; TNFRSF6B: OR 0.656, 95% CI 0.496-0.869, p-value = 0.003; EIF4B: OR 0.701, 95% CI 0.618-0.796, p-value < 0.0001). SMAD2 and CREB3L4 gene expressions proxied with cis-expression quantitative trait loci are also significantly associated with the risk of prostate cancer in both consortiums and when combined with meta-analyses (SMAD2: OR 0.787, 95% CI 0.719-0.861, p-value = 1.00 x 10(-4); CREB3L4: OR 1.219, 95% CI 1.033-1.438, p-value = 0.019). CONCLUSIONS: Our consistent results highlighted the important roles of plasma SMAD2 and CREB3L4 in the risk of prostate cancer. Further investigations on these proteins may reveal their potential in the prevention and treatment of prostate cancer."
39994715,Prognostic assessment of cervical cancer based on biomarkers: the interaction of ERRalpha and immune microenvironment.,"BACKGROUND: Cervical cancer poses a substantial global health challenge. Estrogen-related receptor alpha (ERRalpha) is a central regulator of cellular energy metabolism associated with poor cancer prognosis. However, the effect of ERRalpha expression on cervical cancer prognosis and immune infiltration has not been explored. This study aims to clarify the expression pattern and role of ERRalpha in cervical cancer. METHODS: We analyzed ERRalpha expression and its clinical prognosis in cervical cancer using multiple databases, including The Cancer Genome Atlas (TCGA) and Tumor Immune Estimation Resource (TIMER). The results were further validated through immunohistochemistry (IHC) on 221 cervical cancer tissue samples. Furthermore, Kaplan-Meier and Cox regression analyses were used to assess the clinical significance of ERRalpha in cervical cancer patients. All calculations were performed using the R package. RESULTS: ERRalpha expression was significantly higher in cervical cancer tissues compared to normal tissues. High ERRalpha expression was associated with poor overall survival (OS), disease-specific survival (DSS), and progression-free survival (PFS). Multivariate Cox regression analysis confirmed ERRalpha as an independent prognostic factor. Additionally, ERRalpha expression correlated with various immune cell types and immune checkpoints, indicating its role in the tumor immune microenvironment. CONCLUSIONS: ERRalpha emerges as a promising prognostic biomarker in cervical cancer, influencing immune cell infiltration and potentially guiding personalized therapeutic approaches. Future investigations are warranted to delineate the mechanistic pathways through which ERRalpha contributes to cervical cancer progression and to assess its viability as a target for innovative immunotherapy strategies."
39994616,Identification of CSRP1 as novel biomarker for hormone-sensitive prostate cancer by the combination of clinical and functional research.,"Prostate cancer (PCa) ranks as the second most common malignancy and the fifth leading cause of cancer-related deaths among men. A critical challenge lies in accurately identifying those patients at high risk for transitioning rapidly from hormone-sensitive PCa (HSPC) to lethal castration-resistant PCa (CRPC). In our study, we employed a multiomics approach involving bioinformatics analysis on datasets GSE2443 and GSE35988, along with proteomics studies, to discover that cysteine- and glycine-rich protein 1 (CSRP1) expression significantly impacts the progression of HSPC. This hypothesis was substantiated through experiments using PC3 and LNCaP prostate cancer cells, where we conducted scratch assays and apoptosis assays, all of which confirmed CSRP1's role in suppressing tumor growth. Furthermore, we elucidated the inhibitory effect of CSRP1 on tumors by performing xenograft experiments on castrated mice models. To solidify these findings in a clinical context, we constructed a nomogram model integrating CSRP1's immunohistochemistry data and clinical parameters from an actual patient cohort with HSPC. This model revealed that low CSRP1 expression indeed promotes the advancement towards CRPC. In conclusion, the level of CSRP1 expression can serve as a valuable biomarker for clinicians to predict disease progression in their patients. It has the potential to guide personalized clinical management and decision-making strategies, thereby contributing to more effective and targeted treatment approaches for HSPC patients."
39994603,Vasectomy and prostate cancer risk: a pooled of cohort studies and Mendelian randomization analysis.,"BACKGROUND: The relationship between vasectomy and the risk of prostate cancer (PCa) remains unclear, with observational studies reporting inconsistent results. To clarify this ambiguity, we embarked on a comprehensive investigation comprising both a meta-analysis and a Mendelian randomization (MR) study. This dual approach aimed to thoroughly examine not only the association but also the causality between undergoing a vasectomy and the subsequent risk of PCa. METHODS: Our systematic review meticulously examined cohort studies published until January 2024, employing a random effects model for the computation of relative risks (RR) and their 95% confidence intervals (CI). For MR Analysis, we leveraged aggregated data from the IEU Open GWAS database, investigating the correlation between genetic predisposition to vasectomy and PCa. We chose single nucleotide polymorphisms (SNPs) of European descent as instrumental variables (IVs) for this analysis. The primary method for calculating the odds ratios (ORs) and their 95% CIs was inverse variance weighting (IVW). Through sensitivity analysis, we confirmed the robustness of our findings. RESULTS: Our investigation synthesized data from 19 cohort studies, encompassing over four million participants. The combined analysis revealed a statistically significant link between vasectomy and an elevated risk of PCa across any grade (RR = 1.09; 95%CI: 1.05-1.14; P = 0.001; I(2) = 83.3%). This association was observed for both localized PCa (RR = 1.08; 95% CI: 1.04-1.13; P < 0.001; I(2) = 48.8%) and advanced PCa (RR = 1.07; 95% CI: 1.01-1.13; P = 0.016; I(2) = 0%). Nonetheless, the discovery cohort MR Analysis indicated no genetic causal link between vasectomy and PCa (OR = 0.067; 95%CI = 0.002-1.535; P = 0.09). A validation set in the Finnish population confirmed the robustness of the results. This conclusion remained consistent even after controlling for variables such as prostate-specific antigen (PSA) testing and body mass index (BMI), suggesting that while a statistical association exists, the genetic evidence does not support a causal relationship. CONCLUSION: The cumulative analysis indicates a possible elevated risk of PCa in patients who have had a vasectomy. However, MR Analysis has not confirmed a direct causal link between vasectomy and PCa. This suggests that the association observed may not stem from direct causation, allowing for the continued consideration of vasectomy as a viable long-term contraceptive choice. Further research is imperative to uncover any factors that could potentially link vasectomy to an increased risk of prostate cancer, aiming to provide a more comprehensive understanding of the implications."
39994444,SETD1A-dependent EME1 transcription drives PARPi sensitivity in HR deficient tumour cells.,"BACKGROUND: Cells deficient in DNA repair factors breast cancer susceptibility 1/2 (BRCA1/2) or ataxia-telangiectasia mutated (ATM) are sensitive to poly-ADP ribose polymerase (PARP) inhibitors. Building on our previous findings, we asked how the lysine methyltransferase SETD1A contributed to PARP inhibitor-mediated cell death in these contexts and determined the mechanisms responsible. METHODS: We used cervical, breast, lung and ovarian cancer cells bearing mutations in BRCA1 or ATM and depleted SETD1A using siRNA or CRISPR/Cas9. We assessed the effects of the PARPi Olaparib on cell viability, homologous recombination, and DNA repair. We assessed underlying transcriptional perturbations using RNAseq. We used The Cancer Genomics Atlas (TCGA) and DepMap to investigate patient survival and cancer cell characteristics. RESULTS: Loss of SETD1A from both BRCA1-deficient and ATM-deficient cancer cells was associated with resistance to Olaparib, explained by partial restoration of homologous recombination. Mechanistically, SETD1A-dependent transcription of the crossover junction endonuclease EME1 correlated with sensitivity to Olaparib in these cells. Accordingly, when SETD1A or EME1 was lost, BRCA1 or ATM-mutated cells became resistant to Olaparib, and homologous recombination was partially restored. CONCLUSIONS: Loss of SETD1A or EME1 drives cellular resistance to Olaparib in certain genetic contexts and may help explain why patients develop resistance to PARP inhibitors in the clinic."
39993810,Characterization of the Genomic Landscape in HPV-positive Cervical and Head and Neck Squamous Cell Carcinomas by Whole Genome Next Generation Sequencing.,"BACKGROUND/AIM: In this study, we provide a comprehensive characterization of HPV-positive primary cervical cancers (CC) and HPV-positive head and neck squamous cell carcinomas (HNSCC) through whole genome next-generation sequencing. Human papillomavirus (HPV) infection, recognized as a definitive human carcinogen, is increasingly acknowledged for its role in development of human cancers. HPV-driven cervical cancers are among the leading causes of cancer-related deaths worldwide, while HPV-driven head and neck cancers exhibit distinct biological and clinical characteristics. Recent data has provided convincing evidence that HPV-related cervical cancer, like HPV head and neck cancer also predict better outcomes, with viral integration patterns further predicting disease related outcomes. MATERIALS AND METHODS: We designed an experimental study that encompasses four pairs of HPV-positive patient samples with controls, utilizing state-of-the-art Next Generation Sequencing (NGS) technology including whole genome sequencing, transcriptome sequencing and virus integration. RESULTS: Multiple mutated genes, including TTN, COL6A3, and FLNA, were identified shared between CC and HNSCC. Additionally, we observed a notable proportion of pathways affected by oncogenic alterations, particularly in the RTK-RAS and NOTCH pathways, in both CC and HNSCC. Furthermore, we discovered a shared down-regulation of the Hedgehog signaling pathway based on transcriptome expression analysis in KEGG. We also identified RUNX2 and TFPI as sites of virus integration, and upstream as well as downstream pathway modulators, and represent potential targets for therapeutic interventions. CONCLUSION: Overall, this study showed a thorough comparison between CC and HNSCC from multiple aspects, including gene variations, oncogenic pathways, KEGG enrichment and virus integration sites. However, further studies, which involve larger patient cohorts should be undertaken to further support these findings."
39993806,"Loss of E-cadherin Activates EGFR-MEK/ERK Signaling, Promoting Cervical Cancer Progression.","BACKGROUND/AIM: This study investigated the relationship between E-cadherin down-regulation and enhanced pERK1/2 signaling in cervical cancer, evaluated their combined prognostic impact, and explored potential therapeutic targets. MATERIALS AND METHODS: We analyzed 188 cervical cancer specimens and 300 normal cervical tissue samples using tissue microarray and immunohistochemistry. Small interfering RNA transfection and western blotting were used to study molecular interactions in cervical cancer cell lines. RESULTS: We observed a significant inverse correlation between E-cadherin and pERK1/2 expression, as well as poor disease-free survival and overall survival. Additionally, molecular analysis indicated that E-cadherin silencing enhanced ERK signaling and promoted cancer cell proliferation. CONCLUSION: The findings suggest that E-cadherin and pERK1/2 are crucial biomarkers for cervical cancer prognosis and their interaction provides a potential target for therapeutic interventions. Further studies are recommended to explore these pathways in the clinical setting."
39993805,Prostate Cancer: De-regulated Circular RNAs With Efficacy in Preclinical In Vivo Models.,"Therapy resistance, including castration-resistance and metastasis, remains a major hurdle in the treatment of prostate cancer. In order to identify novel therapeutic targets and treatment modalities for prostate cancer, we conducted a comprehensive literature search on PubMed to identify de-regulated circular RNAs that influence treatment efficacy in preclinical prostate cancer-related in vivo models. Our analysis identified 49 circular RNAs associated with various processes, including treatment resistance, transmembrane and secreted proteins, transcription factors, signaling cascades, human antigen R, nuclear receptor binding, ubiquitination, metabolism, epigenetics and other target categories. The identified targets and circular RNAs can be further scrutinized through target validation approaches. Down-regulated circular RNAs are candidates for reconstitution therapy, while up-regulated RNAs can be inhibited using small interfering RNA (siRNA), antisense oligonucleotides (ASO) or clustered regularly interspaced short palindromic repeats/CRISPR associated (CRISPR-CAS)-related approaches."
39993800,Integrated Pharmacogenetic Signature for the Prediction of Prostatic Neoplasms in Men With Metabolic Disorders.,"BACKGROUND/AIM: Oncogenic processes are delineated by metabolic dysregulation. Drug likeness is pharmacokinetically tested through the CYP450 enzymatic system, whose genetic aberrations under epigenetic stress could shift male organisms into prostate cancer pathways. Our objective was to predict the susceptibility to prostate neoplasia, focused on benign prostatic hyperplasia (BPH) and prostate cancer (PCa), based on the pharmacoepigenetic and the metabolic profile of Caucasians. MATERIALS AND METHODS: Two independent cohorts of 47,389 individuals in total were assessed to find risk associations of CYP450 genes with prostatic neoplasia. The metabolic profile of the first cohort was statistically evaluated and frequencies of absorption-distribution-metabolism-excretion-toxicity (ADMET) properties were calculated. Prediction of miRNA pharmacoepigenetic targeting was performed. RESULTS: We found that prostate cancer and benign prostatic hyperplasia patients of the first cohort shared common cardiometabolic trends. Drug classes C08CA, C09AA, C09CA, C10AA, C10AX of the cardiovascular, and G04CA, G04CB of the genitourinary systems, were associated with increased prostate cancer risk, while C03CA and N06AB of the cardiovascular and nervous systems were associated with low-risk for PCa. CYP3A4*1B was the most related pharmacogenetic polymorphism associated with prostate cancer susceptibility. miRNA-200c-3p and miRNA-27b-3p seem to be associated with CYP3A4 targeting and prostate cancer predisposition. Metabolomic analysis indicated that 11beta-OHT, 2beta-OHT, 15beta-OHT, 2alpha-OHT and 6beta-OHT had a high risk, and 16alpha-OHT, and 16beta-OHT had an intermediate disease-risk. CONCLUSION: These findings constitute a novel integrated signature for prostate cancer susceptibility. Further studies are required to assess their predictive value more fully."
39992723,A multi-perspective study assessing Black and African American participation barriers in prostate cancer clinical trials.,"AIMS: This study aimed to partner with patients, advocates, and physicians to better understand the barriers that exist for Black and African Americans to enroll in prostate cancer (PCa) clinical trials. PATIENTS & METHODS: Through moderated discussions with patients, advocates, and physicians, we identified potential opportunities to increase the enrollment of underrepresented patients in PCa clinical trials. RESULTS: We identified key barriers to Black and African American enrollment in PCa clinical trials that were shared by all groups but also identified group-specific barriers. We developed recommendations based on key themes that have the potential to increase the enrollment of Black and African Americans in PCa clinical trials. CONCLUSIONS: While racial diversity in PCa clinical trials remains an unsolved problem, there are significant opportunities to better address this unmet need. Through a multi-perspective approach to identify key barriers that limit Black and African American enrollment in PCa clinical trials, we developed recommendations for both sponsors and clinical trial sites to increase diverse patient enrollment in PCa clinical trials, with a focus on employing practical strategies."
39992716,Longitudinal Profiling of Circulating Tumor DNA Reveals the Evolutionary Dynamics of Metastatic Prostate Cancer During Serial Therapy.,"Treatment decisions in metastatic castration-resistant prostate cancer (mCRPC) are mostly guided by clinical variables, but efforts to molecularly monitor the disease remain hampered by challenges in acquiring tumor tissue repeatedly. Here, we simultaneously profiled the genome copy number and exome in longitudinal plasma circulating tumor DNA (ctDNA) acquired before, during, and upon progression to serial treatments with androgen signaling inhibitors (ASI) and taxane chemotherapy from 60 mCRPC patients (2-10 samples per patient). The genomic data was used to delineate the clonal substructure and evolutionary dynamics of each patient, and an evolutionary dynamic index (EDI) was developed to measure the longitudinal changes of the tumor subclones. Treatment with ASI resulted in greater subclonal selection and population structure changes than taxane treatment. The subclones that emerged in association with serial therapy resistance harbored recurrent aberrations in previously identified and new candidate genes, with particular enrichment in genes related to PI3K-AKT signaling. These findings indicate that the integration of detailed clinical and genomics data can provide a framework for future unbiased genomic applications for ctDNA in the clinic to enable precision medicine."
39992612,Considerations for hereditary breast and ovarian cancer syndrome molecular diagnosis: experience from the clinical practice.,"PURPOSE: The implementation of the next-generation sequencing (NGS) in clinical practice has improved the genetic diagnosis of Hereditary Breast and Ovarian Cancer Syndrome (HBOC). We aimed to evaluate the diagnostic outcomes of using an NGS cancer gene panel in clinical practice for patients selected based on personal and/or family history of breast, ovarian, prostate, melanoma, and other HBOC-associated cancers. METHODS: The study series included 2561 consecutive Spanish individuals referred for genetic testing, comprising 2445 cancer patients and 116 healthy individuals with family history of HBOC. Eleven HBOC susceptibility genes (BRCA1, BRCA2, PALB2, ATM, CHEK2, BARD1, BRIP1, RAD51C, RAD51D, TP53, and PTEN) and three Lynch Syndrome genes (MLH1, MSH2, and MSH6) available for opportunistic testing were analyzed using a commercial Hereditary Cancer Panel and an in-house bioinformatics pipeline. RESULTS: Overall, the diagnostic yield was 11.0% in cancer patients and 8.6% in healthy individuals with a family history of breast/ovarian cancer. Pathogenic variants in high-risk genes were more frequent in patients with multiple HBOC tumors and a family history of different HBOC cancers. Additionally, we diagnosed five families with Lynch syndrome through opportunistic testing. CONCLUSION: Testing cancer susceptibility genes using an agnostic strategy confers a diagnostic benefit for hereditary cancer syndromes compared to phenotype-driven test, without adding complexity to the study. The analysis of healthy individuals with a family history of HBOC detects pathogenic variants in a cost-efficient percentage of cases, resulting in a good alternative strategy when the index case is unavailable."
